"R0000100","R0002200","R0002300","R0543940","R0547525","R0547530","R0548100","R0549500","R0549800","R0552300","R0552400","R0554900","R0590520"
3089,21,1,16,2,1,6,0,-4,407,290,0,721
3090,17,2,12,2,1,1,0,-4,936,314,0,506
3091,17,1,12,2,1,4,0,-4,347,693,0,450
3092,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3093,14,1,-4,2,1,6,0,-4,659,825,0,290
3094,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3095,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3096,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3097,17,1,16,2,1,1,0,-4,726,321,0,751
3098,15,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3099,21,1,16,2,1,1,0,-4,16,200,-4,-4
3100,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3101,14,1,9,2,1,1,0,-4,808,721,0,365
3102,24,2,6,3,1,1,0,-4,616,985,0,300
3103,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3104,21,1,14,2,1,1,0,-4,16,200,-4,-4
3105,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3106,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3107,15,1,13,3,1,1,0,-4,16,200,-4,-4
3108,17,1,15,3,1,1,0,-4,259,84,-4,-4
3109,22,2,12,1,1,1,0,-4,808,472,0,615
3110,17,1,16,2,1,1,0,-4,509,430,0,836
3111,15,1,12,2,1,1,0,-4,578,715,0,421
3112,17,1,15,1,1,6,0,-4,689,394,-4,-4
3113,15,1,-4,2,1,6,0,-4,-4,-4,-4,-4
3114,24,1,12,3,1,1,0,-4,146,430,0,535
3115,15,1,16,1,1,1,0,-4,646,394,-4,-4
3116,18,1,14,2,1,6,0,-4,809,480,1,775
3117,14,1,10,3,1,1,0,-4,517,265,0,289
3118,24,1,12,3,1,1,0,-4,217,0,0,866
3119,14,2,15,1,1,4,0,-4,429,775,0,682
3120,16,2,12,1,1,6,0,-4,517,965,1,-4
3121,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3122,16,2,12,3,1,6,0,-4,247,775,1,411
3123,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3124,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3125,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3126,21,2,10,3,1,6,0,-4,656,775,0,330
3127,14,2,12,3,1,1,0,-4,146,415,0,879
3128,21,2,8,3,1,1,0,-4,196,510,0,650
3129,14,2,8,3,1,1,0,-4,196,510,0,550
3130,14,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
3131,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3132,19,2,11,3,1,1,0,-4,386,775,1,661
3133,15,2,12,3,1,1,0,-4,868,810,1,419
3134,19,1,13,3,1,1,0,15,808,694,0,438
3135,23,2,9,3,1,1,0,-4,196,775,0,688
3136,15,1,12,1,1,1,0,-4,196,411,0,650
3137,22,2,12,1,1,1,0,-4,808,472,0,625
3138,19,2,10,1,1,1,0,-4,656,963,0,750
3139,16,1,17,3,1,1,0,-4,16,200,-4,-4
3140,15,1,16,1,1,1,0,-4,16,902,0,444
3141,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3142,15,2,9,1,1,1,0,-4,659,875,0,100
3143,16,2,15,1,1,1,0,-4,638,290,0,370
3144,14,2,12,1,1,1,0,-4,16,964,-4,-4
3145,23,2,8,1,1,1,0,-4,258,643,0,440
3146,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3147,15,2,12,2,1,1,0,-4,638,350,0,250
3148,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3149,18,2,12,2,1,1,0,-4,146,480,1,546
3150,24,1,12,1,1,1,0,-4,259,480,1,684
3151,14,2,12,3,1,4,0,-4,349,480,1,435
3152,16,2,9,3,1,1,0,-4,876,510,0,462
3153,20,2,6,3,1,6,0,-4,-4,-4,-4,-4
3154,21,2,12,3,1,5,0,-4,626,650,0,333
3155,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3156,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3157,18,1,16,2,1,1,0,-4,689,250,0,700
3158,15,1,14,2,1,5,0,-4,936,195,0,683
3159,16,1,12,3,1,1,0,-4,826,290,0,559
3160,14,1,16,2,0,6,0,-4,846,161,-4,-4
3161,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3162,16,1,-5,3,1,1,0,-4,406,995,0,700
3163,16,1,15,2,0,1,1,-4,879,170,0,583
3164,18,1,-4,3,1,1,0,-4,876,60,0,2051
3165,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3166,16,1,13,-5,-5,-5,-5,-5,-5,-5,-5,-5
3167,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3168,16,1,13,3,1,6,1,-4,258,84,0,539
3169,21,1,6,-5,-5,-5,-5,-5,-5,-5,-5,-5
3170,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3171,20,2,11,1,1,1,0,-4,876,834,0,370
3172,17,2,9,1,1,6,0,-4,807,985,-4,397
3173,18,2,12,2,1,1,1,-4,406,775,0,817
3174,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3175,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3176,14,1,16,1,1,6,0,-4,659,875,-4,260
3177,22,1,11,1,1,1,0,-4,609,715,0,321
3178,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3179,16,2,12,1,1,1,0,-4,406,775,0,600
3180,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3181,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3182,19,2,16,1,0,5,0,-4,879,171,1,779
3183,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3184,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3185,17,2,11,1,1,6,0,-4,828,370,0,450
3186,24,1,12,1,1,1,0,-4,247,643,0,725
3187,14,1,12,1,1,1,0,-4,247,775,1,680
3188,19,1,12,1,1,1,0,-4,618,394,0,962
3189,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3190,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3191,19,1,12,3,1,1,0,-4,247,775,0,-4
3192,17,1,16,1,1,1,0,-4,386,290,0,1683
3193,15,2,-5,1,1,6,0,-4,926,265,1,443
3194,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3195,20,1,14,1,1,1,0,-4,838,814,-4,-4
3196,24,1,16,2,1,1,0,-4,196,290,0,900
3197,19,1,15,1,0,6,0,-4,849,120,0,1090
3198,20,1,16,1,1,1,0,-4,536,10,1,831
3199,14,2,13,1,1,1,0,14,258,775,0,507
3200,14,2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3201,15,2,14,1,1,1,1,-4,426,643,0,656
3202,20,2,18,1,1,1,0,-4,828,290,0,1795
3203,22,2,12,1,1,1,0,-4,636,401,1,832
3204,15,1,12,2,1,1,0,12,868,810,0,563
3205,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3206,17,1,16,1,1,6,0,-4,207,350,0,-4
3207,14,1,13,1,1,1,0,-4,426,775,1,700
3208,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3209,14,1,6,2,1,5,0,-4,196,411,-4,-4
3210,15,1,17,1,1,1,0,-4,398,394,-4,-4
3211,14,1,14,1,1,6,0,14,516,973,0,641
3212,16,1,12,2,1,1,0,-4,429,775,1,446
3213,21,1,17,1,0,5,0,-4,689,290,-4,-4
3214,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3215,21,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3216,14,2,13,1,1,6,0,13,409,775,0,260
3217,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3218,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3219,23,1,14,3,1,1,0,-4,218,721,0,564
3220,18,1,13,1,1,1,0,-4,626,394,0,667
3221,18,1,18,2,1,1,0,-4,348,394,0,1848
3222,22,1,12,3,1,1,0,-4,807,325,0,660
3223,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3224,14,1,11,2,1,1,0,-4,809,480,0,400
3225,16,1,9,3,1,1,0,-4,657,632,0,385
3226,19,1,8,-5,-5,-5,-5,-5,-5,-5,-5,-5
3227,14,1,13,1,1,1,1,-4,809,480,1,625
3228,20,1,16,3,1,1,0,-4,876,183,0,491
3229,18,1,13,3,1,1,0,12,406,480,0,663
3230,15,1,8,3,1,1,0,-4,636,290,-4,-4
3231,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3232,18,2,12,3,1,5,0,-4,656,775,0,438
3233,18,2,12,1,0,1,0,-4,636,480,1,885
3234,17,2,15,3,1,5,0,15,258,465,1,590
3235,15,2,11,1,0,6,0,11,259,715,0,-4
3236,22,1,8,3,1,1,1,-4,406,775,0,500
3237,23,2,11,3,1,1,0,-4,207,970,0,450
3238,19,2,10,3,1,1,0,-4,876,834,1,303
3239,14,2,-5,3,1,4,0,-4,876,834,1,329
3240,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3241,18,1,8,3,1,1,0,-4,-4,-4,-4,-4
3242,14,1,17,3,1,1,0,-4,706,395,0,471
3243,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3244,19,1,12,3,1,1,0,-4,916,510,0,938
3245,22,1,16,3,1,1,0,-4,607,290,0,1077
3246,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3247,19,2,11,2,0,1,0,-4,409,191,1,475
3248,16,2,8,-5,-5,-5,-5,-5,-5,-5,-5,-5
3249,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3250,16,2,18,3,1,6,0,-4,926,195,0,481
3251,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3252,16,2,16,1,1,1,1,-4,706,370,0,323
3253,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3254,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3255,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3256,19,2,9,3,1,4,0,-4,206,715,1,375
3257,22,2,5,3,1,1,0,-4,936,775,0,369
3258,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3259,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3260,14,2,13,1,1,6,0,-4,659,350,-4,265
3261,20,2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
3262,23,2,16,1,0,1,0,-4,826,290,0,511
3263,17,2,14,3,1,1,0,15,826,370,0,299
3264,18,1,18,2,1,1,0,-4,867,162,-4,-4
3265,20,1,16,2,1,1,0,16,609,250,0,1190
3266,21,1,16,3,1,1,0,15,706,0,0,726
3267,17,2,10,3,1,1,0,-4,867,810,0,225
3268,15,2,12,3,1,1,0,-4,876,834,0,-4
3269,16,2,12,1,1,5,0,13,809,535,0,229
3270,14,1,11,3,1,1,0,-4,196,411,-4,-4
3271,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3272,18,1,12,3,1,1,0,-4,16,200,-4,-4
3273,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3274,22,2,12,3,1,1,0,-4,196,413,0,780
3275,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3276,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3277,16,1,11,3,1,6,0,-4,809,480,-4,-4
3278,19,2,8,3,1,1,0,-4,936,715,0,434
3279,17,2,10,3,1,1,0,-4,386,480,1,535
3280,15,1,16,1,1,1,0,-4,618,394,0,857
3281,14,1,13,3,1,1,0,-4,706,290,0,346
3282,17,1,16,3,1,6,1,-4,926,995,0,762
3283,18,1,15,3,1,1,0,-4,726,385,0,-4
3284,22,1,8,3,1,1,0,-4,196,985,0,231
3285,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
3286,23,1,12,2,1,1,0,-4,626,650,0,480
