"R0000100","R0002200","R0002300","R0543940","R0547525","R0547530","R0548100","R0549500","R0549800","R0552300","R0552400","R0554900","R0590520"
1,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
2,19,2,7,1,0,1,0,-4,239,973,1,500
3,17,1,12,2,0,4,0,-4,838,814,-4,-4
4,24,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
5,17,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
6,24,1,12,2,0,1,0,-4,396,253,0,800
7,16,1,12,2,0,4,0,-4,316,650,-4,563
8,23,1,18,2,0,1,0,-4,876,183,1,739
9,19,1,14,2,0,1,0,-4,359,84,0,789
10,18,1,12,2,0,4,0,-4,196,411,0,538
11,19,1,12,2,0,1,0,-4,276,985,0,600
12,18,1,9,1,0,1,0,-4,387,775,-4,325
13,16,1,12,1,0,1,0,-4,868,832,0,425
14,14,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
15,20,1,11,1,0,1,0,-4,578,985,1,497
16,21,2,16,2,0,1,0,-4,618,394,0,1038
17,14,1,14,2,0,1,0,-4,16,901,0,-4
18,24,1,11,2,0,1,0,-4,196,290,-4,-4
19,24,1,12,2,0,5,0,-4,936,850,0,375
20,19,1,14,2,0,1,0,-4,926,72,1,784
21,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
22,16,1,10,2,0,6,0,-4,196,405,1,625
23,22,1,-4,2,0,6,0,-4,258,775,-4,490
24,17,1,10,2,0,1,0,-4,136,685,1,824
25,22,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
26,22,1,18,1,1,1,0,-4,916,270,0,1269
27,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
28,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
29,24,1,18,2,0,1,0,-4,876,183,1,936
30,22,1,15,3,0,1,0,-4,649,0,0,847
31,18,1,12,1,0,5,0,-4,617,715,-4,380
32,22,1,12,1,0,1,0,-4,268,695,0,866
33,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
34,15,1,14,2,0,6,0,-4,507,842,-4,-4
35,24,1,18,3,0,1,0,-4,259,195,0,719
36,16,1,12,2,0,6,0,-4,296,775,0,265
37,22,1,18,-5,-5,-5,-5,-5,-5,-5,-5,-5
38,15,1,12,2,0,1,0,-4,689,473,0,425
39,19,1,14,3,0,1,0,-4,567,0,1,724
40,16,1,15,3,0,6,0,-4,196,411,0,700
41,15,1,-4,3,0,1,0,-4,196,630,-4,350
42,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
43,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
44,21,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
45,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
46,17,1,-5,1,0,2,0,-4,666,714,0,375
47,15,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
48,15,2,12,1,0,6,1,-4,936,171,-4,486
49,19,2,12,1,0,1,0,-4,626,715,1,409
50,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
51,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
52,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
53,14,1,16,2,0,1,0,-4,407,0,0,-4
54,24,1,18,1,0,2,0,-4,876,183,1,1099
55,18,1,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
56,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
57,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
58,23,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
59,24,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
60,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
61,20,2,7,1,0,1,0,-4,659,835,1,281
62,20,1,16,2,0,1,0,-4,536,75,1,1325
63,21,1,10,1,0,1,0,-4,196,545,1,963
64,24,1,18,2,0,1,1,-4,916,83,0,1331
65,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
66,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
67,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
68,22,3,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
69,17,2,13,1,0,6,0,-4,867,810,-4,265
70,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
71,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
72,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
73,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
74,20,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
75,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
76,18,3,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
77,17,3,6,1,0,5,0,-4,638,430,0,468
78,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
79,14,2,11,-5,-5,-5,-5,-5,-5,-5,-5,-5
80,24,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
81,16,1,9,1,0,4,0,-4,398,370,1,490
82,22,1,15,1,0,1,0,-4,518,354,0,881
83,24,1,11,2,0,1,0,-4,196,514,0,577
84,21,2,-5,1,0,6,0,-4,349,775,0,375
85,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
86,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
87,14,2,12,1,0,5,0,-4,846,120,1,420
88,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
89,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
90,14,1,16,2,1,6,0,-4,868,290,0,558
91,14,1,12,1,0,1,0,-4,656,290,0,1010
92,15,1,13,1,0,1,0,14,936,850,1,778
93,18,1,17,2,0,1,0,-4,706,290,0,673
94,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
95,16,1,-5,3,0,1,1,-4,308,985,-4,500
96,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,15,1,12,1,0,1,0,-4,609,290,-4,-4
98,16,2,12,2,0,6,0,-4,567,520,1,800
99,14,2,14,1,0,1,0,-4,846,120,-4,-4
100,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
101,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
102,21,2,11,3,1,1,0,-4,16,902,0,243
103,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
104,16,2,13,1,0,6,0,-4,508,290,-4,300
105,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
106,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,14,1,10,1,0,1,1,-4,267,480,1,604
108,17,1,12,1,0,1,0,-4,398,512,0,872
109,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
110,17,1,12,2,0,1,0,-4,638,480,0,721
111,14,1,12,2,0,1,0,-4,636,250,1,750
112,20,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
113,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
114,17,1,14,2,0,1,0,-4,196,411,1,1070
115,22,1,16,2,0,1,0,-4,716,195,0,1173
116,22,1,13,1,0,1,1,-4,259,0,0,938
117,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
118,23,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
119,24,1,12,2,1,1,0,-4,618,480,0,17628
120,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
121,14,1,12,1,0,1,0,-4,396,370,1,-4
122,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
123,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,14,2,9,1,0,6,0,-4,636,394,0,250
126,18,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
127,24,1,16,1,0,1,0,-4,898,174,0,1923
128,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
129,18,1,16,2,0,1,0,-4,409,191,0,962
130,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
131,16,1,12,2,1,1,0,-4,196,545,1,1010
132,15,1,16,2,0,1,0,-4,806,172,0,1154
133,14,1,18,1,0,6,0,-4,409,172,0,904
134,19,1,16,2,0,1,0,-4,846,394,-4,-4
135,21,1,13,2,0,4,0,-4,656,472,0,750
136,18,1,14,2,0,4,0,-4,16,290,0,648
137,18,1,15,2,0,1,1,-4,726,290,0,748
138,15,1,12,2,0,6,0,-4,316,401,-4,-4
139,21,1,8,2,0,1,0,-4,808,775,-4,-4
140,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
141,16,1,12,2,0,1,0,-4,196,510,1,-4
142,15,1,12,2,0,1,0,-4,258,631,1,677
143,22,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
144,15,1,16,1,0,4,0,-4,897,0,-4,-4
145,14,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
146,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
147,18,1,16,2,0,1,1,-4,916,0,0,942
148,17,1,17,2,0,1,1,-4,807,83,0,1215
149,14,1,12,2,0,1,0,-4,538,775,1,905
150,19,1,14,2,0,1,1,-4,926,195,-4,673
151,14,1,12,2,0,6,0,-4,736,370,0,917
152,22,1,7,-5,-5,-5,-5,-5,-5,-5,-5,-5
153,16,1,12,2,0,1,0,-4,618,290,0,-4
154,14,1,12,2,0,1,0,-4,617,394,0,500
155,17,1,13,2,0,6,1,-4,16,964,0,400
156,16,1,12,2,0,1,0,-4,567,510,0,900
157,21,1,11,2,0,1,0,-4,809,290,-4,-4
158,15,1,12,2,0,1,0,-4,196,425,0,600
159,21,1,18,2,1,1,0,-4,638,160,0,1106
160,24,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
161,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
162,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
163,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
164,18,2,12,2,0,6,0,-4,659,825,0,292
165,19,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
166,15,1,18,1,0,1,1,-4,869,105,0,885
167,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
168,15,1,16,2,0,1,0,17,258,84,0,611
169,14,1,14,2,0,1,0,-4,196,470,0,675
170,16,1,14,1,0,1,1,-4,258,775,1,900
171,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
172,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,19,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,16,1,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,20,1,14,-5,-5,-5,-5,-5,-5,-5,-5,-5
176,18,1,15,1,1,1,0,15,257,290,0,550
177,14,1,13,1,1,1,0,-4,618,290,0,462
178,22,1,13,2,1,1,0,-4,807,195,0,635
179,20,1,17,2,0,1,0,-4,257,195,0,978
180,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
181,16,1,18,-5,-5,-5,-5,-5,-5,-5,-5,-5
182,22,1,18,1,0,6,0,-4,876,195,0,760
183,17,1,17,1,0,1,0,-4,196,411,0,500
184,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
185,16,1,16,2,0,1,0,-4,296,290,0,444
186,16,1,16,2,0,1,0,-4,257,72,0,913
187,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
188,17,1,17,2,0,1,1,-4,879,195,0,962
189,18,1,-5,2,0,1,1,-4,617,394,0,1380
190,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
191,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
192,20,1,12,2,0,1,0,-4,407,775,1,700
193,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
194,18,1,18,1,0,1,0,18,879,171,0,931
195,16,1,12,1,0,1,0,-4,416,775,1,901
196,21,1,18,2,0,1,0,-4,706,195,0,875
197,21,1,14,2,0,1,0,-4,806,290,0,-4
198,18,1,13,1,1,1,0,-4,849,290,0,990
199,22,1,14,2,0,1,0,-4,626,430,-4,-4
200,15,1,14,2,1,1,0,-4,609,250,-4,-4
201,24,1,18,3,0,1,0,-4,876,53,1,1282
202,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
203,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
204,24,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
205,18,1,17,1,0,1,0,-4,267,290,0,1325
206,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
207,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
208,18,2,14,2,0,1,0,-4,636,0,1,693
209,23,1,12,2,0,1,0,-4,936,853,0,817
210,17,1,13,2,0,1,0,-4,936,853,1,724
211,17,1,15,1,0,4,1,-4,-4,-4,-4,-4
212,15,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
213,14,2,14,1,0,6,0,-4,196,421,1,1299
214,19,1,18,2,0,1,0,-4,869,105,0,1068
215,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
216,18,1,15,2,0,1,0,16,876,964,-4,-4
217,14,1,12,2,0,1,0,-4,267,775,1,640
218,17,1,13,2,0,1,0,-4,536,83,1,962
219,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
220,15,1,16,1,0,4,0,-4,196,411,1,1060
221,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
222,22,1,18,3,0,1,0,-4,386,103,0,1058
223,16,1,17,1,0,1,1,-4,876,152,-4,-4
224,24,1,12,2,0,1,0,-4,726,301,0,-4
225,14,1,11,2,0,1,0,-4,267,775,1,721
226,17,1,15,2,0,1,1,-4,888,275,1,761
227,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
228,19,1,14,2,0,1,0,-4,706,290,0,649
229,19,1,17,2,0,1,0,-4,567,83,1,1138
230,18,1,12,2,0,1,0,-4,656,394,0,558
231,14,1,9,1,0,1,0,-4,196,985,1,800
232,16,1,12,3,0,1,0,-4,429,430,0,591
233,14,1,12,2,0,1,0,-4,656,472,-4,625
234,24,1,12,1,0,1,0,-4,196,82,0,1100
235,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
236,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
237,24,1,13,2,0,1,0,-4,876,370,1,673
238,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
239,16,1,12,1,0,1,0,-4,879,715,0,415
240,17,1,16,2,0,1,0,-4,706,290,0,598
241,19,1,9,1,0,6,0,-4,196,985,-4,750
242,15,1,16,1,0,6,0,17,876,180,1,814
243,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
244,20,1,18,2,0,1,0,-4,259,83,0,1329
245,19,1,16,3,0,1,0,-4,607,394,0,913
246,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
247,18,1,14,2,0,1,0,-4,258,154,0,855
248,15,1,12,2,0,1,0,-4,838,843,-4,-4
249,21,1,14,2,0,6,0,-4,237,310,0,635
250,18,1,12,2,0,4,0,13,508,714,1,-4
251,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
252,17,1,12,1,0,1,0,12,258,465,1,900
253,16,1,14,2,0,1,0,15,639,290,0,681
254,16,1,17,2,0,1,0,-4,638,472,0,529
255,19,1,16,2,0,1,0,-4,389,394,0,1016
256,21,1,16,2,1,1,0,17,268,80,0,1154
257,18,1,14,2,0,1,0,13,259,370,1,693
258,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
259,15,1,12,2,0,6,0,-4,218,775,-4,-4
260,19,1,16,2,0,1,0,-4,876,184,0,924
261,18,1,14,2,0,1,0,-4,267,350,0,808
262,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
263,20,1,12,2,0,1,0,-4,237,775,1,855
264,24,1,13,2,0,1,0,-4,936,853,1,712
265,16,1,16,3,0,6,0,-4,258,93,0,-4
266,24,1,12,2,0,1,0,-4,316,480,1,962
267,23,1,18,2,1,1,0,-4,876,195,0,1038
268,15,1,12,2,0,4,0,-4,267,694,1,538
269,14,1,13,3,1,4,0,-4,18,962,0,444
270,21,1,12,2,0,1,0,-4,807,190,1,721
271,15,1,12,2,0,6,0,-4,276,421,1,633
272,16,1,16,2,0,1,0,-4,916,260,1,923
273,15,1,12,1,1,4,0,-4,906,323,1,700
274,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
275,20,1,16,2,0,4,0,-4,807,290,-4,-4
276,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
277,14,2,11,2,0,2,0,-4,136,685,1,800
278,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
279,14,1,16,1,0,6,1,-4,619,775,0,-4
280,21,1,18,3,0,1,0,-4,876,183,0,713
281,14,1,17,2,1,1,1,-4,-4,-4,-4,-4
282,16,1,17,-5,-5,-5,-5,-5,-5,-5,-5,-5
283,14,1,16,3,0,6,1,-4,876,182,1,491
284,15,1,18,2,0,1,0,-4,609,250,0,769
285,18,1,18,2,0,6,0,-4,876,183,1,841
286,18,1,16,1,0,6,0,-4,876,183,0,-4
287,17,1,16,3,0,6,0,-4,136,685,0,900
288,17,1,17,2,0,1,0,-4,876,120,1,505
289,24,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
290,17,1,14,2,0,1,0,-4,237,643,1,825
291,15,1,13,2,0,1,0,-4,237,430,1,938
292,14,1,12,2,0,1,0,-4,237,252,1,721
293,16,1,16,2,0,1,0,-4,607,394,0,983
294,14,1,16,2,0,1,0,-4,257,394,0,-4
295,21,1,12,2,0,1,0,-4,259,775,1,700
296,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
297,22,1,17,2,0,1,0,-4,726,290,0,1302
298,17,1,12,2,0,1,0,-4,196,405,-4,-4
299,15,1,-5,2,0,1,0,-4,926,301,1,774
300,15,1,12,1,0,1,0,-4,536,75,1,833
301,14,1,13,-5,-5,-5,-5,-5,-5,-5,-5,-5
302,17,1,12,2,0,1,0,-4,509,472,0,1000
303,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
304,15,1,16,1,0,6,0,-4,736,480,1,328
305,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
306,20,1,18,1,0,1,0,-4,659,290,0,457
307,17,1,16,2,0,1,0,-4,259,85,0,1058
308,21,1,12,2,0,1,0,-4,659,832,0,1385
309,24,1,12,2,0,1,0,-4,268,430,0,769
310,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
311,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
312,23,1,12,3,0,6,0,-4,257,643,1,750
313,23,1,18,1,1,6,0,-4,736,370,0,315
314,17,1,11,1,0,6,0,-4,626,715,1,625
315,21,1,13,2,0,4,1,-4,659,290,-4,-4
316,18,1,13,-5,-5,-5,-5,-5,-5,-5,-5,-5
317,16,2,12,2,0,6,0,-4,287,775,1,625
318,21,1,12,2,0,1,0,-4,906,340,1,825
319,18,1,-5,1,0,1,0,-4,609,973,0,-4
320,14,1,12,2,0,6,0,-4,398,775,0,505
321,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
322,18,1,16,2,0,1,0,-4,398,290,0,793
323,15,1,12,3,0,1,0,-4,196,290,-4,-4
324,15,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
325,14,1,12,3,0,6,0,-4,429,775,0,463
326,19,1,12,2,0,1,0,-4,659,825,0,542
327,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
328,23,1,16,2,0,1,0,-4,846,290,-4,-4
329,24,2,14,2,0,4,0,-4,259,190,0,378
330,24,1,15,3,0,1,0,-4,649,290,0,800
331,17,2,12,-5,-5,-5,-5,-5,-5,-5,-5,-5
332,18,1,12,1,0,1,0,-4,726,290,0,1139
333,22,1,16,2,0,1,0,-4,359,290,0,1603
334,22,1,-4,1,0,6,0,-4,296,775,0,9
335,15,1,16,-5,-5,-5,-5,-5,-5,-5,-5,-5
336,15,1,16,1,0,1,0,-4,916,285,0,600
337,21,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
338,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
339,22,1,18,2,0,1,0,-4,876,35,1,855
340,19,1,18,2,0,1,0,-4,897,0,0,1394
341,16,2,17,2,0,6,0,-4,287,285,0,815
342,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
343,17,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
344,22,1,16,1,0,1,0,-4,267,0,1,1057
345,18,1,12,2,0,6,0,-4,258,631,0,-4
346,18,1,13,2,0,5,0,-4,649,290,0,400
347,16,1,12,1,0,1,0,-4,509,650,1,1000
348,24,1,18,2,0,1,0,-4,626,290,0,1923
349,17,1,16,2,0,1,0,-4,287,430,0,1202
350,19,1,12,2,0,1,0,-4,196,421,1,1000
351,20,1,12,1,0,6,0,12,638,843,0,313
352,18,1,16,2,0,1,0,-4,656,290,0,692
353,21,1,16,2,0,1,0,-4,389,290,0,1027
354,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
355,18,1,12,2,0,1,0,-4,906,323,1,864
356,21,1,15,2,0,4,0,-4,506,82,0,986
357,17,1,12,2,0,1,1,-4,916,471,0,721
358,23,1,13,2,0,1,1,-4,936,853,1,938
359,22,1,12,2,0,1,0,-4,248,465,0,855
360,20,1,14,2,0,1,0,-4,236,93,0,1239
361,16,1,12,2,0,1,0,-4,509,715,0,-4
362,23,1,12,2,0,1,0,-4,808,472,0,481
363,17,1,15,2,0,1,0,-4,429,775,0,524
364,14,1,12,3,0,1,0,-4,429,394,0,-4
365,16,1,12,2,0,1,0,-4,196,434,-4,-4
366,17,1,12,2,0,1,0,-4,296,430,0,838
367,24,1,12,2,0,1,0,-4,689,290,-4,-4
368,22,1,10,2,0,4,0,-4,868,421,0,700
369,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
370,23,1,11,1,0,1,0,-4,509,715,1,889
371,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
372,24,1,14,2,0,1,0,-4,318,480,1,625
373,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
374,20,1,18,1,0,1,0,18,876,120,0,529
375,15,1,15,1,0,6,0,-4,518,832,1,1732
376,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
377,22,1,10,1,1,1,0,-4,196,425,0,450
378,18,1,13,2,0,1,0,-4,258,74,0,577
379,19,1,16,2,0,1,0,-4,607,394,0,1648
380,19,1,10,2,0,1,0,-4,999,985,1,543
381,16,1,12,2,0,1,0,13,676,394,0,400
382,16,1,12,2,0,4,0,-4,268,480,1,500
383,17,1,17,2,0,6,0,-4,726,290,0,1331
384,15,1,15,2,0,6,0,16,726,385,0,382
385,16,1,13,3,0,6,0,-4,879,290,0,400
386,15,1,16,3,0,6,1,-4,259,195,0,-4
387,20,1,12,2,0,1,0,-4,268,350,0,425
388,22,1,15,2,0,1,0,-4,689,394,0,1923
389,18,1,-5,2,0,4,0,-4,807,480,-4,-4
390,15,1,16,2,0,6,0,-4,259,370,0,630
391,17,1,12,1,0,6,0,-4,259,430,0,778
392,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
393,20,1,16,1,0,1,0,16,868,370,-4,532
394,18,1,-5,1,0,1,1,-4,726,325,0,725
395,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
396,23,2,12,2,0,1,0,-4,268,653,1,688
397,16,1,18,1,1,6,0,-4,726,360,0,579
398,19,1,17,1,0,1,0,-4,726,385,1,934
399,17,1,16,2,0,1,0,-4,196,195,0,667
400,14,1,13,2,0,1,0,-4,656,290,0,640
401,16,2,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
402,19,2,12,1,0,1,0,-4,509,985,1,938
403,16,2,12,1,0,1,0,-4,238,653,1,511
404,16,2,12,1,0,6,0,-4,247,775,1,430
405,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
406,20,1,14,2,0,1,0,-4,808,290,-4,-4
407,14,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
408,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
409,14,1,14,1,0,1,0,-4,689,521,0,300
410,24,1,12,3,0,4,0,-4,538,453,0,923
411,17,1,18,1,0,1,0,-4,867,162,0,1201
412,16,1,17,1,0,6,0,18,868,162,0,328
413,14,1,17,2,0,6,0,-4,689,152,0,528
414,15,1,16,1,0,1,0,-4,706,290,0,-4
415,14,1,17,3,0,6,0,-4,689,480,0,300
416,14,1,14,-5,-5,-5,-5,-5,-5,-5,-5,-5
417,17,1,15,2,0,1,0,-4,636,290,0,808
418,17,1,14,2,0,1,0,-4,257,310,0,721
419,15,1,16,2,0,1,0,-4,296,370,0,625
420,21,1,18,1,0,6,0,-4,879,171,0,1122
421,17,1,15,1,0,1,0,15,706,290,0,673
422,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
423,17,1,15,3,0,6,0,-4,659,815,0,924
424,20,1,9,2,0,1,0,-4,656,290,0,400
425,18,1,8,2,0,1,0,-4,196,472,1,456
426,14,1,12,1,0,1,0,-4,247,775,1,536
427,22,1,12,1,0,1,0,-4,258,775,1,700
428,23,1,12,2,0,1,0,-4,258,721,1,718
429,21,1,12,2,0,1,0,-4,808,472,0,458
430,20,1,9,2,0,1,0,-4,509,715,0,321
431,20,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
432,15,1,15,2,0,1,0,-4,659,825,-4,-4
433,22,1,14,2,1,1,0,-4,609,250,0,1346
434,24,1,10,2,0,1,0,-4,248,430,0,435
435,20,1,17,2,0,1,0,-4,268,154,0,1218
436,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
437,19,1,12,2,0,1,0,-4,136,685,1,1000
438,17,1,-5,2,0,1,0,-4,868,832,0,495
439,15,1,12,1,0,1,0,-4,538,453,1,672
440,15,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
441,22,1,12,2,0,1,0,-4,567,453,1,913
442,16,1,12,2,0,1,0,-4,247,721,1,608
443,16,1,12,2,0,6,0,-4,286,775,0,489
444,14,1,16,2,0,6,0,-4,896,82,0,684
445,14,1,-4,2,0,1,0,-4,809,715,1,491
446,22,1,9,2,0,4,0,-4,319,775,0,545
447,24,1,8,3,0,1,0,-4,-4,-4,-4,-4
448,16,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
449,21,1,12,3,0,1,0,-4,638,524,0,500
450,18,1,12,3,0,1,0,-4,236,775,1,625
451,19,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
452,17,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
453,18,1,16,3,0,1,0,17,726,290,0,1925
454,17,1,16,1,1,6,0,-4,618,394,0,885
455,23,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
456,15,1,-4,3,0,1,0,-4,196,411,-4,-4
457,24,1,12,2,0,1,0,-4,196,405,0,1000
458,14,1,16,2,0,6,0,-4,16,290,-4,-4
459,24,1,12,3,0,6,0,-4,196,495,-4,-4
460,18,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
461,19,1,11,3,0,1,0,-4,289,480,1,600
462,15,1,12,3,0,1,0,-4,347,775,1,471
463,22,1,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
